Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Goolleo chagi,Trampe spark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Goolleo-chagi,Trampe spark,Benteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Gubhin sonmok chigi,Opadgående håndrygsslag mod f.eks. hage),Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gwan ja nori,Tinding,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Gwe,Bjælkesymbol (i koreansk flag),Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gwi,Øre,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Gyesok,Fortsæt,Diverse,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Gyop son,Folde hænder,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gyopson joonbi seogi,Dækket hånd klarstand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gyottari seogi,Hjælpe stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Gyottari-seogi,Hjælpestand,Stande,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Ha-i,Bukser til dobog,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Haktari dolcheogi,Storke hængsel,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Haktari seogi,Tranestand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Haktari-seogi,Tranestand,Stande,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Hanbon Kireugi,Et skridts kamp,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Hanna,En ( 1 ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Hanson keut,Enkelt-fingerstik,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Hanson keut,Enkelt fingerstik,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Hansonnal,Enkelt knivhånd,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Hansonnal araemakki,Enkelt knivhånds blokering i lav sektion,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Hansonnal eolgol anchigi,Slag med knivhånd i høj sektion,Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,TRUE,TRUE
Hansonnal eolgul biteureomakki,Vride blokering m. enkelt knivhånd,Håndteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Hansonnal jebipoom mok-chigi,"Slag mod hals (modsat arm og ben), håndfl aden op",Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Hansonnal momtong bakatmakki,Enkelt knivhånds blokering,Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Hansonnal momtong makki,Enkelt knivhåndsblokering,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Hansonnal momtong yeopmakki,Enkelt knivhånds blokering til siden,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Hechyo,Adskille,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Hechyo santeul makki,Adskille bjerg blokering,Håndteknikker,3. dan,http://www.tangun.dk/images/stories/docs/3dan.pdf,FALSE,TRUE
Ho,Forsvare/beskytte,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ho-goo,Kampvest,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ho-hop,Ånde,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Hong,Rød,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Hooryo chagi,Sving spark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Hooryo-chagi,Sving spark,Benteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Hosinsul,Selvforsvar,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Hwangso makki,Okse blokering,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ieo chagi,To spark lige efter hinanden (samme spark med hver sit ben),Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ieo seokeo-chagi,"To spark lige efter hinanden forskellig teknikker (først det ene ben, så det andet)",Benteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Ieo sokeo chagi,To spark lige efter hinanden (forskellige spark med hver sit ben),Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ieo-chagi,"To spark lige efter hinanden m. samme teknik (først det ene ben, så det andet)",Benteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Il,Første ( 1. ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Il hoe jeon,Første runde,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ilga chagi,Samtidigt flyvende dobbeltspark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ilkup,syv ( 7 ),Tal,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
In hoe jeon,Anden runde,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
In Hu,Strubehoved,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
